Temperature,Relative Humidity,Soil moisture,Irrigate?
22,59,780,No
20,62,762,Yes
23,70,759,Yes
21,74,737,Yes
14,50,831,Yes
18,78,695,Yes
23,79,745,Yes
26,70,839,No
31,40,796,No
26,63,690,Yes
38,41,791,No
18,67,753,Yes
28,62,621,Yes
28,61,692,No
19,70,680,Yes
22,58,608,Yes
28,71,755,No
18,49,919,No
22,59,725,Yes
35,48,778,No
23,69,696,Yes
19,33,805,Yes
26,64,718,Yes
13,78,814,Yes
19,47,878,No
22,74,671,Yes
36,56,825,No
27,64,717,No
15,25,881,No
31,51,796,No
22,79,668,Yes
20,59,664,Yes
31,31,787,No
26,70,789,No
24,64,763,No
36,43,805,No
20,68,795,No
26,78,727,No
22,59,774,No
26,63,824,No
20,58,698,Yes
28,66,712,No
19,62,755,Yes
17,63,828,No
26,69,688,Yes
22,77,730,Yes
20,78,705,Yes
31,56,796,No
18,74,659,Yes
28,74,706,Yes
15,78,644,Yes
22,79,636,Yes
14,49,892,No
22,65,734,Yes
18,67,776,No
21,62,757,Yes
18,54,872,No
18,33,809,Yes
27,61,683,Yes
26,76,788,No
38,44,779,No
18,54,846,No
30,66,765,No
37,37,828,No
18,60,721,Yes
20,68,727,Yes
15,55,841,No
31,57,819,No
12,47,829,No
18,29,920,No
14,44,877,No
28,61,842,No
18,59,836,No
18,62,727,Yes
21,75,680,Yes
30,78,797,No
14,40,901,No
27,76,732,No
27,73,700,No
22,79,724,No
31,41,779,No
8,34,902,No
20,62,725,Yes
20,37,771,No
10,39,824,No
18,60,685,Yes
36,42,775,No
36,43,793,No
25,75,790,No
27,66,685,No
19,76,761,Yes
38,35,816,No
22,62,755,Yes
24,75,812,No
28,77,731,No
28,67,775,No
30,31,813,No
28,74,672,No
18,68,711,Yes
23,75,688,Yes
24,68,740,No
21,62,779,Yes
18,72,713,Yes
18,36,831,No
26,79,733,No
16,55,900,No
16,73,763,Yes
26,79,687,Yes
15,52,787,No
18,60,691,Yes
33,36,782,No
20,66,721,Yes
15,58,876,No
30,42,806,No
28,69,745,No
23,74,774,No
19,71,646,Yes
34,41,836,No
28,73,818,No
37,27,769,No
26,62,700,No
24,61,632,Yes
27,73,607,No
21,66,719,Yes
10,44,855,No
37,42,779,No
28,75,802,No
24,60,763,No
27,60,814,No
22,62,742,Yes
12,25,834,No
21,62,757,Yes
27,62,829,No
28,64,617,No
19,68,727,Yes
28,59,638,Yes
11,25,858,No
20,71,689,Yes
22,78,743,Yes
22,72,699,Yes
37,32,832,No
26,64,744,No
19,74,823,Yes
26,74,752,No
31,57,781,No
18,73,753,Yes
28,67,763,No
26,66,758,No
25,78,745,No
26,75,644,Yes
20,62,690,Yes
22,80,807,No
20,42,894,No
18,28,817,No
25,75,766,No
23,79,747,No
19,58,678,Yes
27,77,796,No
25,70,704,No
